"rgn_id","habitat","extent_rank","layer"
2,"mangrove",61629.96178,"element_wts_cs_km2_x_storage"
3,"mangrove",1834.61374,"element_wts_cs_km2_x_storage"
4,"mangrove",11615.33623,"element_wts_cs_km2_x_storage"
5,"mangrove",33905.97393,"element_wts_cs_km2_x_storage"
6,"mangrove",13292.70066,"element_wts_cs_km2_x_storage"
7,"mangrove",11645.56317,"element_wts_cs_km2_x_storage"
8,"mangrove",10646.92045,"element_wts_cs_km2_x_storage"
1,"seagrass",3406.5524,"element_wts_cs_km2_x_storage"
2,"seagrass",3406.5524,"element_wts_cs_km2_x_storage"
3,"seagrass",3406.5524,"element_wts_cs_km2_x_storage"
4,"seagrass",3406.5524,"element_wts_cs_km2_x_storage"
5,"seagrass",3406.5524,"element_wts_cs_km2_x_storage"
6,"seagrass",3406.5524,"element_wts_cs_km2_x_storage"
7,"seagrass",3406.5524,"element_wts_cs_km2_x_storage"
8,"seagrass",3406.5524,"element_wts_cs_km2_x_storage"
