"rgn_id","habitat","extent_rank","layer"
1,"seagrass",41.0428,"element_wts_cp_km2_x_protection"
2,"seagrass",41.0428,"element_wts_cp_km2_x_protection"
3,"seagrass",41.0428,"element_wts_cp_km2_x_protection"
4,"seagrass",41.0428,"element_wts_cp_km2_x_protection"
5,"seagrass",41.0428,"element_wts_cp_km2_x_protection"
6,"seagrass",41.0428,"element_wts_cp_km2_x_protection"
7,"seagrass",41.0428,"element_wts_cp_km2_x_protection"
8,"seagrass",41.0428,"element_wts_cp_km2_x_protection"
1,"coral",6238.52,"element_wts_cp_km2_x_protection"
2,"coral",6238.52,"element_wts_cp_km2_x_protection"
3,"coral",6238.52,"element_wts_cp_km2_x_protection"
4,"coral",6238.52,"element_wts_cp_km2_x_protection"
5,"coral",6238.52,"element_wts_cp_km2_x_protection"
6,"coral",6238.52,"element_wts_cp_km2_x_protection"
7,"coral",6238.52,"element_wts_cp_km2_x_protection"
8,"coral",6238.52,"element_wts_cp_km2_x_protection"
1,"mangrove",1327.28384,"element_wts_cp_km2_x_protection"
2,"mangrove",1327.28384,"element_wts_cp_km2_x_protection"
3,"mangrove",1327.28384,"element_wts_cp_km2_x_protection"
4,"mangrove",1327.28384,"element_wts_cp_km2_x_protection"
5,"mangrove",1327.28384,"element_wts_cp_km2_x_protection"
6,"mangrove",1327.28384,"element_wts_cp_km2_x_protection"
7,"mangrove",1327.28384,"element_wts_cp_km2_x_protection"
8,"mangrove",1327.28384,"element_wts_cp_km2_x_protection"
