"targets","layer","filename","fld_value","units","name","description","layer_gl","path_in","fld_id_num","fld_id_chr","fld_category","fld_year","fld_val_num","fld_val_chr","file_exists","year_min","year_max","val_min","val_max","val_0to1","flds_unused","flds_missing","rows_duplicated","num_ids_unique","data_na"
"AO","ao_access","ao_access_gl2017.csv","value","scaled 0-1","Artisanal fisheries opportunity","The opportunity for artisanal and recreational fishing based on the quality of management of the small-scale fishing sector","ao_access","~/github/ohi-global2017-template/eez/layers/ao_access.csv","rgn_id",,,"year","value",,TRUE,2013,2013,0.632,0.632,TRUE,,,,8,FALSE
"AO","ao_need","ao_need_gl2017.csv","value","scaled 0-1","Economic need for artisanal fishing","Per capita purchasing power parity (PPP) adjusted gross domestic product (GDP): GDPpcPPP as a proxy for subsistence fishing need","ao_need","~/github/ohi-global2017-template/eez/layers/ao_need.csv","rgn_id",,,"year","value",,TRUE,2005,2016,0.0364271880002428,0.0517019591686699,TRUE,,,,8,FALSE
"AO pressureCP pressureCS pressureCW pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureMAR pressureNP pressureSPP pressureTR pressure","ss_spi","ss_spi_gl2017.csv","pressure_score","scaled 0-1","Weakness of social progress","Inverse of Social Progress Index scores","ss_spi","~/github/ohi-global2017-template/eez/layers/ss_spi.csv","rgn_id",,,"year","pressure_score",,TRUE,2014,2017,0.497875,0.505908333333333,TRUE,,,,8,FALSE
"AO pressureCP pressureCS pressureCW pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureMAR pressureNP pressureSPP pressureTR pressure","ss_wgi","ss_wgi_gl2017.csv","pressure_score","scaled 0-1","Weakness of governance","Inverse of World Governance Indicators (WGI) six combined scores","ss_wgi","~/github/ohi-global2017-template/eez/layers/ss_wgi.csv","rgn_id",,,"year","pressure_score",,TRUE,1996,2015,0.563761700689793,0.62970288892587,TRUE,,,,8,FALSE
"AO pressureCP pressureCS pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureNP pressureSPP pressure","hd_intertidal","hd_intertidal_tan2018.csv","pressure_score","scaled 0-1","Intertidal habitat destruction","Coastal population density (5 mi from shore)  as a proxy for intertidal habitat destruction","hd_intertidal","~/github/ohi-global2017-template/eez/layers/hd_intertidal.csv","rgn_id",,,"year","pressure_score",,TRUE,2015,2015,0.0241091458595371,0.528109638901746,TRUE,,,,8,FALSE
"AO pressureCP pressureCS pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureNP pressureSPP pressure","sp_alien","sp_alien_gl2017.csv","pressures.score","scaled 0-1","Nonindigenous species","Measure of harmful invasive species","sp_alien","~/github/ohi-global2017-template/eez/layers/sp_alien.csv","rgn_id",,,,"pressures.score",,TRUE,,,0.00591206754925,0.00591206754925,TRUE,,,,8,FALSE
"AO pressureCP pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureNP pressureSPP pressure","hd_subtidal_hb","hd_subtidal_hb_gl2017.csv","score","scaled 0-1","Subtidal hardbottom habitat destruction","High bycatch artisanal fishing practices (blast fishing) as a proxy for subtidal hard bottom habitat destruction","hd_subtidal_hb","~/github/ohi-global2017-template/eez/layers/hd_subtidal_hb.csv","rgn_id",,,"year","score",,TRUE,2012,2012,0.874460499,0.874460499,TRUE,,,,8,FALSE
"AO pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureNP pressureSPP pressure","fp_art_hb","fp_art_hb_gl2017.csv","pressure_score","scaled 0-1","High bycatch due to artisanal fishing","Presence of destructive artisanal blast and poison (cyanide) fishing.","fp_art_hb","~/github/ohi-global2017-template/eez/layers/fp_art_hb.csv","rgn_id",,,"year","pressure_score",,TRUE,2012,2012,0.874460499,0.874460499,TRUE,,,,8,FALSE
"AO pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureSPP pressure","fp_com_hb","fp_com_hb_gl2017.csv","pressure_score","scaled 0-1","High bycatch due to commercial fishing","Modeled destructive commercial fishing practices by 5 gear types and scaled by Net Primary Productivity","fp_com_hb","~/github/ohi-global2017-template/eez/layers/fp_com_hb.csv","rgn_id",,,"year","pressure_score",,TRUE,2007,2014,0.236727949900512,0.366494733899353,TRUE,,,,8,FALSE
"AO pressureECO pressureFIS pressureHAB pressureLIV pressureNP pressureSPP pressure","fp_com_lb","fp_com_lb_gl2017.csv","pressure_score","scaled 0-1","Low bycatch due to commercial fishing","Modeled destructive commercial fishing practices by 2 gear types and scaled by Net Primary Productivity","fp_com_lb","~/github/ohi-global2017-template/eez/layers/fp_com_lb.csv","rgn_id",,,"year","pressure_score",,TRUE,2007,2014,0.156392934362967,0.205328709086308,TRUE,,,,8,FALSE
"AO pressureECO pressureFIS pressureHAB pressureLIV pressureNP pressureSPP pressure","hd_subtidal_sb","hd_subtidal_sb_gl2017.csv","pressure_score","scaled 0-1","Subtidal soft bottom habitat destruction","Demersal destructive commercial fishing practices (i.e., trawling) in soft bottom habitat as a proxy for soft bottom habitat destruction","hd_subtidal_sb","~/github/ohi-global2017-template/eez/layers/hd_subtidal_sb.csv","rgn_id",,,"year","pressure_score",,TRUE,2003,2014,0,0,TRUE,,,,8,FALSE
"AO resilienceCP resilienceCS resilienceCW resilienceECO resilienceFIS resilienceHAB resilienceICO resilienceLIV resilienceLSP resilienceMAR resilienceNP resilienceSPP resilienceTR resilience","res_spi","res_spi_gl2017.csv","resilience_score","scaled 0-1","Social Progress Index","Social Progress Index scores","res_spi","~/github/ohi-global2017-template/eez/layers/res_spi.csv","rgn_id",,,"year","resilience_score",,TRUE,2014,2017,0.494091666666667,0.502125,TRUE,,,,8,FALSE
"AO resilienceCP resilienceCS resilienceCW resilienceECO resilienceFIS resilienceHAB resilienceICO resilienceLIV resilienceLSP resilienceMAR resilienceNP resilienceSPP resilienceTR resilience","wgi_all","wgi_all_gl2017.csv","resilience_score","scaled 0-1","Strength of governance","World Governance Indicators (WGI) six combined scores","wgi_all","~/github/ohi-global2017-template/eez/layers/wgi_all.csv","rgn_id",,,"year","resilience_score",,TRUE,1996,2015,0.37029711107413,0.436238299310207,TRUE,,,,8,FALSE
"AO resilienceCP resilienceCS resilienceFIS resilienceHAB resilienceICO resilienceLSP resilienceNP resilienceSPP resilience","hd_habitat","hd_habitat_gl2017.csv","resilience score","scaled 0-1","Management of habitat to protect habitat biodiversity","Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: habitat related questions","hd_habitat","~/github/ohi-global2017-template/eez/layers/hd_habitat.csv","rgn_id",,,,"resilience.score",,TRUE,,,0.818181818181818,0.818181818181818,TRUE,,,,8,FALSE
"AO resilienceCP resilienceCS resilienceHAB resilienceNP resilience","hd_mpa_coast","hd_mpa_coast_tan2018.csv","resilience_score","scaled 0-1","Coastal protected marine areas (habitat preservation)","Protected marine areas within 3nm of coastline (lasting special places goal status score) relative to 30% area target","hd_mpa_coast","~/github/ohi-global2017-template/eez/layers/hd_mpa_coast.csv",,,"region_id","year","resilience_score",,TRUE,2015,2015,0,0.267,TRUE,,,,8,FALSE
"AO resilienceFIS resilienceHAB resilienceICO resilienceNP resilienceSPP resilience","fp_habitat","fp_habitat_gl2017.csv","resilience score","scaled 0-1","Management of habitat to protect fisheries biodiversity","Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: habitat related questions","fp_habitat","~/github/ohi-global2017-template/eez/layers/fp_habitat.csv","rgn_id",,,,"resilience.score",,TRUE,,,0.818181818181818,0.818181818181818,TRUE,,,,8,FALSE
"AO resilienceFIS resilienceHAB resilienceICO resilienceNP resilienceSPP resilience","fp_mora","fp_mora_gl2017.csv","value","scaled 0-1","Commercial fishing management","Regulations and management of commerical fishing","fp_mora","~/github/ohi-global2017-template/eez/layers/fp_mora.csv","rgn_id",,,,"value",,TRUE,,,0.613345258137,0.613345258137,TRUE,,,,8,FALSE
"AO resilienceHAB resilienceNP resilience","fp_mpa_coast","fp_mpa_coast_gl2017.csv","resilience.score","scaled 0-1","Coastal protected marine areas (fishing preservation)","Protected marine areas within 3nm of coastline (lasting special places goal status score)","fp_mpa_coast","~/github/ohi-global2017-template/eez/layers/fp_mpa_coast.csv","rgn_id",,,"year","resilience.score",,TRUE,2011,2017,1,1,TRUE,,,,8,FALSE
"AO resilienceHAB resilienceNP resilience","species_diversity_3nm","species_diversity_3nm_gl2017.csv","score","scaled 0-1","Measure of coastal ecological integrity","Marine species condition (same calculation and data as the species subgoal status score)  calculated within 3 nm of shoreline as a proxy for ecological integrity","species_diversity_3nm","~/github/ohi-global2017-template/eez/layers/species_diversity_3nm.csv","rgn_id",,,,"score",,TRUE,,,0.893409379467776,0.893409379467776,TRUE,,,,8,FALSE
"CP","hab_coral_extent","hab_coral_extent_tan2018.csv","km2","km2","Habitat extent of coral","Area of coral habitat","hab_coral_extent","~/github/ohi-global2017-template/eez/layers/hab_coral_extent.csv","rgn_id",,"habitat","year","km2",,TRUE,2018,2018,0,476.8640619,FALSE,,,,8,FALSE
"CP","hab_seaice_extent","hab_seaice_extent_gl2017placeholder.csv","km2","km2","Habitat extent of seaice","Area of seaice (edge and shoreline) habitat","hab_seaice_extent","~/github/ohi-global2017-template/eez/layers/hab_seaice_extent.csv","rgn_id",,"habitat","year","km2",,TRUE,2017,2017,2017,2017,FALSE,,,,8,FALSE
"CP pressureCS pressureECO pressureHAB pressureICO pressureNP pressureSPP pressure","cc_acid","cc_acid_gl2017.csv","pressure_score","scaled 0-1","Ocean acidification","Ocean acidification pressure scaled using biological thresholds","cc_acid","~/github/ohi-global2017-template/eez/layers/cc_acid.csv","rgn_id",,,"year","pressure_score",,TRUE,1958,2020,0.0414478629377169,0.216431169092008,TRUE,,,,8,FALSE
"CP pressureCS pressureECO pressureHAB pressureICO pressureNP pressureSPP pressure","cc_sst","cc_sst_gl2017.csv","pressure_score","scaled 0-1","Sea surface temperature","Sea surface temperature anomalies","cc_sst","~/github/ohi-global2017-template/eez/layers/cc_sst.csv","rgn_id",,,"year","pressure_score",,TRUE,2012,2016,0.0706281581541704,0.400344309194216,TRUE,,,,8,FALSE
"pressureHAB pressure","cc_slr","cc_slr_tan2018.csv","pressure_score","scaled 0-1","Sea level rise","Sea level rise pressure","cc_slr","~/github/ohi-global2017-template/eez/layers/cc_slr.csv","rgn_id",,,"year","pressure_score",,TRUE,2011,2015,0.095,0.386,TRUE,,,,8,FALSE
"CP pressureHAB pressureNP pressureSPP pressure","cc_uv","cc_uv_gl2017.csv","pressure_score","scaled 0-1","UV radiation","Modeled UV radiation","cc_uv","~/github/ohi-global2017-template/eez/layers/cc_uv.csv","rgn_id",,,"year","pressure_score",,TRUE,2009,2016,0,0.0549026254641534,TRUE,,,,8,FALSE
"CP resilienceCS resilienceCW resilienceHAB resilienceICO resilienceLSP resilienceMAR resilienceNP resilienceSPP resilienceTR resilience","po_water","po_water_gl2017.csv","resilience score","scaled 0-1","Management of waters to preserve biodiversity","Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: tourism related questions","po_water","~/github/ohi-global2017-template/eez/layers/po_water.csv","rgn_id",,,,"resilience.score",,TRUE,,,1,1,TRUE,,,,8,FALSE
"CPHAB","hab_coral_health","hab_coral_health_tan2018.csv","health","proportion","Habitat condition of coral","Current condition of coral habitat relative to historical condition using hard coral cover as proxy","hab_coral_health","~/github/ohi-global2017-template/eez/layers/hab_coral_health.csv","rgn_id",,"habitat","year","health",,TRUE,2008,2017,0.49,1,TRUE,,,,8,FALSE
