goal,dimension,region_id,score
AO,future,0,67.32
AO,future,1,69.38
AO,future,2,66.13
AO,future,3,65.35
AO,future,4,68.33
AO,future,5,68.34
AO,future,6,65.67
AO,future,7,69.1
AO,future,8,66.24
AO,pressures,1,46.55
AO,pressures,2,61.69
AO,pressures,3,65.3
AO,pressures,4,51.44
AO,pressures,5,51.39
AO,pressures,6,63.83
AO,pressures,7,47.85
AO,pressures,8,61.18
AO,resilience,1,65.44
AO,resilience,2,65.44
AO,resilience,3,65.44
AO,resilience,4,65.44
AO,resilience,5,65.44
AO,resilience,6,65.44
AO,resilience,7,65.44
AO,resilience,8,65.44
AO,score,0,66.21
AO,score,1,67.24
AO,score,2,65.61
AO,score,3,65.23
AO,score,4,66.72
AO,score,5,66.72
AO,score,6,65.38
AO,score,7,67.1
AO,score,8,65.67
AO,status,0,65.1
AO,status,1,65.1
AO,status,2,65.1
AO,status,3,65.1
AO,status,4,65.1
AO,status,5,65.1
AO,status,6,65.1
AO,status,7,65.1
AO,status,8,65.1
AO,trend,1,0
AO,trend,2,0
AO,trend,3,0
AO,trend,4,0
AO,trend,5,0
AO,trend,6,0
AO,trend,7,0
AO,trend,8,0
BD,future,0,69.57
BD,future,1,58.34
BD,future,2,63.63
BD,future,3,67.59
BD,future,4,70.83
BD,future,5,78.14
BD,future,6,67.78
BD,future,7,86.22
BD,future,8,64.04
BD,pressures,1,
BD,pressures,2,
BD,pressures,3,
BD,pressures,4,
BD,pressures,5,
BD,pressures,6,
BD,pressures,7,
BD,pressures,8,
BD,resilience,1,
BD,resilience,2,
BD,resilience,3,
BD,resilience,4,
BD,resilience,5,
BD,resilience,6,
BD,resilience,7,
BD,resilience,8,
BD,score,0,78.24
BD,score,1,73.24
BD,score,2,71.91
BD,score,3,77.68
BD,score,4,78.2
BD,score,5,84.71
BD,score,6,75.7
BD,score,7,90.8
BD,score,8,73.64
BD,status,0,86.9
BD,status,1,88.14
BD,status,2,80.2
BD,status,3,87.76
BD,status,4,85.57
BD,status,5,91.27
BD,status,6,83.61
BD,status,7,95.39
BD,status,8,83.24
BD,trend,1,-0.62
BD,trend,2,-0.37
BD,trend,3,-0.33
BD,trend,4,-0.32
BD,trend,5,-0.31
BD,trend,6,-0.33
BD,trend,7,-0.21
BD,trend,8,-0.41
CP,future,0,67.63
CP,future,1,34.79
CP,future,2,46.53
CP,future,3,88.16
CP,future,4,67.9
CP,future,5,100
CP,future,6,80.94
CP,future,7,53.26
CP,future,8,69.49
CP,pressures,1,44.93
CP,pressures,2,52.36
CP,pressures,3,54.07
CP,pressures,4,42.65
CP,pressures,5,42.81
CP,pressures,6,52.93
CP,pressures,7,39.3
CP,pressures,8,50.74
CP,resilience,1,68.2
CP,resilience,2,68.2
CP,resilience,3,68.2
CP,resilience,4,68.2
CP,resilience,5,68.2
CP,resilience,6,68.2
CP,resilience,7,68.2
CP,resilience,8,68.2
CP,score,0,71.17
CP,score,1,60.15
CP,score,2,48.16
CP,score,3,91.99
CP,score,4,65.9
CP,score,5,99.85
CP,score,6,75.96
CP,score,7,62.9
CP,score,8,64.5
CP,status,0,74.72
CP,status,1,85.51
CP,status,2,49.79
CP,status,3,95.82
CP,status,4,63.89
CP,status,5,99.69
CP,status,6,70.98
CP,status,7,72.53
CP,status,8,59.51
CP,trend,1,-1
CP,trend,2,-0.18
CP,trend,3,-0.19
CP,trend,4,-0.03
CP,trend,5,0.16
CP,trend,6,0.13
CP,trend,7,-0.54
CP,trend,8,0.16
CS,future,0,61
CS,future,1,35.96
CS,future,2,64.18
CS,future,3,43.08
CS,future,4,74.72
CS,future,5,76.88
CS,future,6,55.54
CS,future,7,100
CS,future,8,37.63
CS,pressures,1,40.75
CS,pressures,2,30.36
CS,pressures,3,45.95
CS,pressures,4,31.56
CS,pressures,5,30.49
CS,pressures,6,32.31
CS,pressures,7,36.49
CS,pressures,8,33.18
CS,resilience,1,68.2
CS,resilience,2,63.9
CS,resilience,3,66.61
CS,resilience,4,64.69
CS,resilience,5,64.07
CS,resilience,6,64.59
CS,resilience,7,64.69
CS,resilience,8,64.76
CS,score,0,73.05
CS,score,1,60.74
CS,score,2,69.56
CS,score,3,61.36
CS,score,4,83.17
CS,score,5,83.15
CS,score,6,65.85
CS,score,7,100
CS,score,8,60.61
CS,status,0,85.11
CS,status,1,85.51
CS,status,2,74.93
CS,status,3,79.63
CS,status,4,91.62
CS,status,5,89.42
CS,status,6,76.15
CS,status,7,100
CS,status,8,83.6
CS,trend,1,-1
CS,trend,2,-0.38
CS,trend,3,-0.79
CS,trend,4,-0.44
CS,trend,5,-0.37
CS,trend,6,-0.56
CS,trend,7,0.55
CS,trend,8,-0.98
CW,future,0,50.45
CW,future,1,50.45
CW,future,2,50.45
CW,future,3,50.45
CW,future,4,50.45
CW,future,5,50.45
CW,future,6,50.45
CW,future,7,50.45
CW,future,8,50.45
CW,pressures,1,77.25
CW,pressures,2,77.25
CW,pressures,3,77.25
CW,pressures,4,77.25
CW,pressures,5,77.25
CW,pressures,6,77.25
CW,pressures,7,77.25
CW,pressures,8,77.25
CW,resilience,1,72.75
CW,resilience,2,72.75
CW,resilience,3,72.75
CW,resilience,4,72.75
CW,resilience,5,72.75
CW,resilience,6,72.75
CW,resilience,7,72.75
CW,resilience,8,72.75
CW,score,0,54.55
CW,score,1,54.55
CW,score,2,54.55
CW,score,3,54.55
CW,score,4,54.55
CW,score,5,54.55
CW,score,6,54.55
CW,score,7,54.55
CW,score,8,54.55
CW,status,0,58.66
CW,status,1,58.66
CW,status,2,58.66
CW,status,3,58.66
CW,status,4,58.66
CW,status,5,58.66
CW,status,6,58.66
CW,status,7,58.66
CW,status,8,58.66
CW,trend,1,-0.19
CW,trend,2,-0.19
CW,trend,3,-0.19
CW,trend,4,-0.19
CW,trend,5,-0.19
CW,trend,6,-0.19
CW,trend,7,-0.19
CW,trend,8,-0.19
ECO,future,0,100
ECO,future,1,100
ECO,future,2,100
ECO,future,3,100
ECO,future,4,100
ECO,future,5,100
ECO,future,6,100
ECO,future,7,100
ECO,future,8,100
ECO,pressures,1,44.7
ECO,pressures,2,47.24
ECO,pressures,3,48.7
ECO,pressures,4,44.49
ECO,pressures,5,44.49
ECO,pressures,6,47.55
ECO,pressures,7,43.6
ECO,pressures,8,46.84
ECO,resilience,1,47.81
ECO,resilience,2,47.81
ECO,resilience,3,47.81
ECO,resilience,4,47.81
ECO,resilience,5,47.81
ECO,resilience,6,47.81
ECO,resilience,7,47.81
ECO,resilience,8,47.81
ECO,score,0,100
ECO,score,1,100
ECO,score,2,100
ECO,score,3,100
ECO,score,4,100
ECO,score,5,100
ECO,score,6,100
ECO,score,7,100
ECO,score,8,100
ECO,status,0,100
ECO,status,1,100
ECO,status,2,100
ECO,status,3,100
ECO,status,4,100
ECO,status,5,100
ECO,status,6,100
ECO,status,7,100
ECO,status,8,100
ECO,trend,1,1
ECO,trend,2,1
ECO,trend,3,1
ECO,trend,4,1
ECO,trend,5,1
ECO,trend,6,1
ECO,trend,7,1
ECO,trend,8,1
FIS,future,0,69.13
FIS,future,1,70.28
FIS,future,2,68.61
FIS,future,3,67.65
FIS,future,4,69.73
FIS,future,5,69.74
FIS,future,6,68.36
FIS,future,7,70.06
FIS,future,8,68.64
FIS,pressures,1,49.05
FIS,pressures,2,56.78
FIS,pressures,3,61.22
FIS,pressures,4,51.58
FIS,pressures,5,51.55
FIS,pressures,6,57.93
FIS,pressures,7,50.04
FIS,pressures,8,56.62
FIS,resilience,1,57.73
FIS,resilience,2,57.73
FIS,resilience,3,57.73
FIS,resilience,4,57.73
FIS,resilience,5,57.73
FIS,resilience,6,57.73
FIS,resilience,7,57.73
FIS,resilience,8,57.73
FIS,score,0,67.32
FIS,score,1,67.89
FIS,score,2,67.05
FIS,score,3,66.57
FIS,score,4,67.62
FIS,score,5,67.62
FIS,score,6,66.93
FIS,score,7,67.78
FIS,score,8,67.07
FIS,status,0,65.5
FIS,status,1,65.5
FIS,status,2,65.5
FIS,status,3,65.5
FIS,status,4,65.5
FIS,status,5,65.5
FIS,status,6,65.5
FIS,status,7,65.5
FIS,status,8,65.5
FIS,trend,1,0.07
FIS,trend,2,0.07
FIS,trend,3,0.07
FIS,trend,4,0.07
FIS,trend,5,0.07
FIS,trend,6,0.07
FIS,trend,7,0.07
FIS,trend,8,0.07
FP,future,0,69.24
FP,future,1,70.38
FP,future,2,68.72
FP,future,3,67.76
FP,future,4,69.84
FP,future,5,69.84
FP,future,6,68.47
FP,future,7,70.17
FP,future,8,68.75
FP,pressures,1,
FP,pressures,2,
FP,pressures,3,
FP,pressures,4,
FP,pressures,5,
FP,pressures,6,
FP,pressures,7,
FP,pressures,8,
FP,resilience,1,
FP,resilience,2,
FP,resilience,3,
FP,resilience,4,
FP,resilience,5,
FP,resilience,6,
FP,resilience,7,
FP,resilience,8,
FP,score,0,67.42
FP,score,1,67.99
FP,score,2,67.16
FP,score,3,66.68
FP,score,4,67.72
FP,score,5,67.73
FP,score,6,67.04
FP,score,7,67.89
FP,score,8,67.18
FP,status,0,65.61
FP,status,1,65.61
FP,status,2,65.61
FP,status,3,65.61
FP,status,4,65.61
FP,status,5,65.61
FP,status,6,65.61
FP,status,7,65.61
FP,status,8,65.61
FP,trend,1,0.07
FP,trend,2,0.07
FP,trend,3,0.07
FP,trend,4,0.07
FP,trend,5,0.07
FP,trend,6,0.07
FP,trend,7,0.07
FP,trend,8,0.07
HAB,future,0,61.05
HAB,future,1,36.92
HAB,future,2,49.75
HAB,future,3,59.51
HAB,future,4,62.68
HAB,future,5,77.28
HAB,future,6,58.43
HAB,future,7,93.24
HAB,future,8,50.61
HAB,pressures,1,36.89
HAB,pressures,2,44.18
HAB,pressures,3,59.03
HAB,pressures,4,42.15
HAB,pressures,5,37.4
HAB,pressures,6,44.79
HAB,pressures,7,44.87
HAB,pressures,8,43.69
HAB,resilience,1,67.73
HAB,resilience,2,59.37
HAB,resilience,3,53.46
HAB,resilience,4,58.68
HAB,resilience,5,65.91
HAB,resilience,6,57.81
HAB,resilience,7,59.34
HAB,resilience,8,62.59
HAB,score,0,72.04
HAB,score,1,61.22
HAB,score,2,59.68
HAB,score,3,72.13
HAB,score,4,71.53
HAB,score,5,84.53
HAB,score,6,67.44
HAB,score,7,96.62
HAB,score,8,63.15
HAB,status,0,83.02
HAB,status,1,85.51
HAB,status,2,69.62
HAB,status,3,84.74
HAB,status,4,80.38
HAB,status,5,91.78
HAB,status,6,76.45
HAB,status,7,100
HAB,status,8,75.7
HAB,trend,1,-1
HAB,trend,2,-0.5
HAB,trend,3,-0.42
HAB,trend,4,-0.41
HAB,trend,5,-0.38
HAB,trend,6,-0.42
HAB,trend,7,-0.17
HAB,trend,8,-0.59
ICO,future,0,65.03
ICO,future,1,65.27
ICO,future,2,64.79
ICO,future,3,63.43
ICO,future,4,65.88
ICO,future,5,65.9
ICO,future,6,64.45
ICO,future,7,65.85
ICO,future,8,64.68
ICO,pressures,1,47.22
ICO,pressures,2,49.57
ICO,pressures,3,56.23
ICO,pressures,4,44.21
ICO,pressures,5,44.11
ICO,pressures,6,51.2
ICO,pressures,7,44.36
ICO,pressures,8,50.08
ICO,resilience,1,63.18
ICO,resilience,2,63.18
ICO,resilience,3,63.18
ICO,resilience,4,63.18
ICO,resilience,5,63.18
ICO,resilience,6,63.18
ICO,resilience,7,63.18
ICO,resilience,8,63.18
ICO,score,0,63.4
ICO,score,1,63.52
ICO,score,2,63.28
ICO,score,3,62.6
ICO,score,4,63.82
ICO,score,5,63.83
ICO,score,6,63.11
ICO,score,7,63.81
ICO,score,8,63.22
ICO,status,0,61.76
ICO,status,1,61.76
ICO,status,2,61.76
ICO,status,3,61.76
ICO,status,4,61.76
ICO,status,5,61.76
ICO,status,6,61.76
ICO,status,7,61.76
ICO,status,8,61.76
ICO,trend,1,0.01
ICO,trend,2,0.01
ICO,trend,3,0.01
ICO,trend,4,0.01
ICO,trend,5,0.01
ICO,trend,6,0.01
ICO,trend,7,0.01
ICO,trend,8,0.01
Index,future,0,67.18
Index,future,1,60.6
Index,future,2,64.61
