"rgn_id","habitat","year","km2"
2,"mangrove",2000,596.3987192
2,"mangrove",2010,529.1583361
2,"mangrove",2011,650.117875
2,"mangrove",2012,437.2341
2,"mangrove",2013,456.622578
2,"mangrove",2014,443.38102
3,"mangrove",2000,19.20770214
3,"mangrove",2010,15.61499999
3,"mangrove",2011,21.437175
3,"mangrove",2012,16.969275
3,"mangrove",2013,14.051214
3,"mangrove",2014,13.19866
4,"mangrove",2000,89.45315916
4,"mangrove",2010,86.61541359
4,"mangrove",2011,123.292575
4,"mangrove",2012,68.008275
4,"mangrove",2013,81.96471
4,"mangrove",2014,83.56357
5,"mangrove",2000,271.5843931
5,"mangrove",2010,267.7659943
5,"mangrove",2011,319.5264
5,"mangrove",2012,182.562475
5,"mangrove",2013,200.155986
5,"mangrove",2014,243.92787
6,"mangrove",2000,129.6690968
6,"mangrove",2010,107.4917394
6,"mangrove",2011,168.485675
6,"mangrove",2012,151.318975
6,"mangrove",2013,95.266368
6,"mangrove",2014,95.63094
7,"mangrove",2000,45.05899718
7,"mangrove",2010,34.70970232
7,"mangrove",2011,110.249275
7,"mangrove",2012,74.516675
7,"mangrove",2013,127.893204
7,"mangrove",2014,83.78103
8,"mangrove",2000,92.30489836
8,"mangrove",2010,78.05811313
8,"mangrove",2011,228.271
8,"mangrove",2012,91.312375
8,"mangrove",2013,79.97661
8,"mangrove",2014,76.59655
