Region,Year,Illegal Gears,No.,All gears count,Proportion of Total,
Mainland,1984,Beachseine,371,28985,0.013,
Mainland,1984,Spear,0,28985,0,
,,TOTAL,371,,0.013,
Mainland,1985,Beachseine,1288,39162,0.033,
Mainland,1985,Spear,0,39162,0,
,,TOTAL,1288,,0.033,
Mainland,1986,Beachseine,1003,40460,0.025,
Mainland,1986,Spear,0,40460,0,
,,TOTAL,1003,,0.025,
Mainland,1987,Beachseine,1087,37080,0.029,
Mainland,1987,Spear,0,37080,0,
,,TOTAL,1087,,0.029,
Mainland,1988,Beachseine,832,27549,0.03,
Mainland,1988,Spear,0,27549,0,
,,TOTAL,832,,0.03,
Mainland,1989,Beachseine,588,18725,0.031,
Mainland,1989,Spear,0,18725,0,
,,TOTAL,588,,0.031,
Mainland,1990,Beachseine,1189,24750,0.048,
Mainland,1990,Spear,0,24750,0,
,,TOTAL,1189,,0.048,
Mainland,1991,Beachseine,665,22021,0.03,
Mainland,1991,Spear,0,22021,0,
,,TOTAL,665,,0.03,
Mainland,1992,Beachseine,537,18527,0.029,
Mainland,1992,Spear,0,18527,0,
,,TOTAL,537,,0.029,
Mainland,1995,Beachseine,350,21137,0.017,
Mainland,1995,Spear,134,21137,0.006,
,,TOTAL,484,,0.023,
Mainland,1998,Beachseine,319,35760,0.009,
Mainland,1998,Spear,805,35760,0.023,
,,TOTAL,1124,,0.032,
Mainland,2001,Beach Seine,485,33996,0.014,
Mainland,2001,Spear,496,33996,0.015,
,,TOTAL,981,,0.029,
Mainland,2005,Beach Seine,453,104058,0.004,
Mainland,2005,Spear,350,104058,0.003,
,,TOTAL,803,,0.007,
Mainland,2007,Beach Seine,615,60817,0.01,
Mainland,2007,Spear,1764,60817,0.029,
,,TOTAL,2379,,0.039,
Mainland,2009,Beach Seine,768,58061,0.013,
Mainland,2009,Spear,1315,58061,0.023,
,,TOTAL,2083,,0.036,
Unguja,2016,Beach Seine,143,62988,0.002,
Unguja,2016,Spear,1192,62988,0.019,
,,TOTAL,1335,,0.021,
Pemba,2016,Beach Seine,242,62988,0.004,
Pemba,2016,Spear,1501,62988,0.024,
,,TOTAL,1743,,0.028,
