Country,Year,Sector,Site,Station,Reef.zone,benthic_name,benthic_code,cover,Latitude,Longitude,Organization,Period,Source,site.id
Tanzania,1992,NA,Zanzibar,Bawe,NA,Algae-coralline,ACOR,2,-6.08326,39.08051,NA,Pre,GCRMN 2015,Tanzania1992NAZanzibarBaweNAPre
Tanzania,1992,NA,Zanzibar,Bawe,NA,Algae-macro/fleshy,AMAC,0,-6.08326,39.08051,NA,Pre,GCRMN 2015,Tanzania1992NAZanzibarBaweNAPre
Tanzania,1992,NA,Zanzibar,Bawe,NA,Bare substrate,BS,37,-6.08326,39.08051,NA,Pre,GCRMN 2015,Tanzania1992NAZanzibarBaweNAPre
Tanzania,1992,NA,Zanzibar,Bawe,NA,Dead Standing coral,DC,2,-6.08326,39.08051,NA,Pre,GCRMN 2015,Tanzania1992NAZanzibarBaweNAPre
Tanzania,1992,NA,Zanzibar,Bawe,NA,Coral,HC,57,-6.08326,39.08051,NA,Pre,GCRMN 2015,Tanzania1992NAZanzibarBaweNAPre
Tanzania,1992,NA,Zanzibar,Bawe,NA,Soft coral,SC,1,-6.08326,39.08051,NA,Pre,GCRMN 2015,Tanzania1992NAZanzibarBaweNAPre
Tanzania,1992,NA,Zanzibar,Bawe,NA,Spongy,SPG,0,-6.08326,39.08051,NA,Pre,GCRMN 2015,Tanzania1992NAZanzibarBaweNAPre
Tanzania,1992,NA,Zanzibar,Changuu,NA,Algae-coralline,ACOR,1,-6.06522,39.10053,NA,Pre,GCRMN 2015,Tanzania1992NAZanzibarChanguuNAPre
Tanzania,1992,NA,Zanzibar,Changuu,NA,Algae-macro/fleshy,AMAC,0,-6.06522,39.10053,NA,Pre,GCRMN 2015,Tanzania1992NAZanzibarChanguuNAPre
Tanzania,1992,NA,Zanzibar,Changuu,NA,Bare substrate,BS,24,-6.06522,39.10053,NA,Pre,GCRMN 2015,Tanzania1992NAZanzibarChanguuNAPre
Tanzania,1992,NA,Zanzibar,Changuu,NA,Dead Standing coral,DC,3,-6.06522,39.10053,NA,Pre,GCRMN 2015,Tanzania1992NAZanzibarChanguuNAPre
