"rgn	year	pressure_score",year,pressure_score
Lindi,2018,1
Mtwara,2018,0.85
Pwani,2018,0.5
Dar es Salaam,2018,0.35
Pemba,2018,0.25
Unguja,2018,0.25
Tanga,2018,0.15
