stock_name,common
Coryphaena_hippurus,Common dolphinfish
Istiophorus_platypterus,Indo-Pacific sailfish
Auxis_rochei,Bullet tuna
Auxis_thazard,Frigate tuna
Euthynnus_affinis,Kawakawa
Katsuwonus_pelamis,Skipjack tuna
Scomberomorus_commerson,Narrowbarred Spanish mackerel
Thunnus_alalunga,Albacore
Thunnus_albacares,Yellowfin tuna
Thunnus_obesus,Bigeye tuna
Istiompax_indica,Black marlin
Kajikia_audax,Striped marlin
Xiphias_gladius,Swordfish
Decapterus_russelli,Indian scad
Psettodes_erumei,Indian halibut
Isurus_oxyrinchus,Shortfin mako
Carcharhinus_falciformis,Silky shark
Carcharhinus_limbatus,Blacktip shark
Prionace_glauca,Blue shark
Trichiurus_lepturus,Largehead hairtail
Chirocentrus_nudus,Whitefin wolf-herring
Alopias_vulpinus,Thresher
Rachycentron_canadum,Cobia
Gerres_oyena,Common silverbiddy
Pelates_quadrilineatus,Fourlined terapon
Portunus_pelagicus,Blue swimming crab
Penaeus_monodon,Giant tiger prawn
Penaeus_semisulcatus,Green tiger prawn
Fenneropenaeus_indicus,Indian white prawn
Octopus_cyanea,Big blue octopus
