stock_name,common
Marine_fishes_not_identified,NA
Miscellaneous_marine_crustaceans,NA
Marine_groundfishes_not_identified,NA
Marine_pelagic_fishes_not_identified,NA
Mollusca,NA
Elasmobranchii,NA
Chondrichthyes,NA
Cephalopoda,NA
Bivalvia,NA
Malacostraca,NA
Rajiformes,NA
Anguilliformes,NA
Clupeiformes,NA
Scombroidea,NA
Gadiformes,NA
Perciformes,NA
Pleuronectiformes,NA
Batoidea,NA
Teuthida,NA
Octopoda,NA
Decapoda,NA
Carcharhinidae,NA
Sphyrnidae,NA
Clupeidae,NA
Muraenidae,NA
Congridae,NA
Ariidae,NA
Synodontidae,NA
Myctophidae,NA
Lophiidae,NA
Berycidae,NA
Platycephalidae,NA
Serranidae,NA
Terapontidae,NA
Sillaginidae,NA
Rachycentridae,NA
Echeneidae,NA
Carangidae,NA
Leiognathidae,NA
Lutjanidae,NA
Nemipteridae,NA
Gerreidae,NA
Haemulidae,NA
Lethrinidae,NA
Sparidae,NA
Sciaenidae,NA
Mullidae,NA
Pomacentridae,NA
Mugilidae,NA
Sphyraenidae,NA
Labridae,NA
Scaridae,NA
Acanthuridae,NA
Siganidae,NA
Trichiuridae,NA
Scombridae,NA
Istiophoridae,NA
Centrolophidae,NA
Stromateidae,NA
Psettodidae,NA
Soleidae,NA
Ostraciidae,NA
Diodontidae,NA
Engraulidae,NA
Caesionidae,NA
Hemiramphidae,NA
Inermiidae,NA
Muraenesocidae,NA
Loliginidae,NA
Sepiidae,NA
Octopodidae,NA
Portunidae,NA
Nephropidae,NA
Palinuridae,NA
Penaeidae,NA
Holothuriidae,NA
Coryphaena,NA
Diodon,NA
Siganus,NA
Epinephelus,NA
Sphyraena,NA
Scomberomorus,NA
Pomadasys,NA
Makaira,NA
Alopias,NA
Trachurus,NA
Chirocentrus,NA
Seriola,NA
Gerres,NA
Upeneus,NA
Auxis,NA
Nemipterus,NA
Thunnus,NA
Sardinella,NA
Rastrelliger,NA
Octopus,NA
Panulirus,NA
Penaeus,NA
Coryphaena_hippurus,Common dolphinfish
Istiophorus_platypterus,Indo-Pacific sailfish
Acanthocybium_solandri,Wahoo
Auxis_rochei,Bullet tuna
Auxis_thazard,Frigate tuna
Euthynnus_affinis,Kawakawa
Katsuwonus_pelamis,Skipjack tuna
Rastrelliger_kanagurta,Indian mackerel
Sarda_orientalis,NA
Scomberomorus_commerson,Narrowbarred Spanish mackerel
Thunnus_alalunga,Albacore
Thunnus_albacares,Yellowfin tuna
Thunnus_obesus,Bigeye tuna
Istiompax_indica,Black marlin
Kajikia_audax,Striped marlin
Xiphias_gladius,Swordfish
Pomatomus_saltatrix,Bluefish
Decapterus_russelli,Indian scad
Selar_crumenophthalmus,Bigeye scad
Elagatis_bipinnulata,Rainbow runner
Psettodes_erumei,Indian halibut
Isurus_oxyrinchus,Shortfin mako
Carcharhinus_longimanus,Oceanic whitetip shark
Prionace_glauca,Blue shark
Sphyrna_zygaena,Smooth hammerhead
Lobotes_surinamensis,Tripletail
Trichiurus_lepturus,Largehead hairtail
Chirocentrus_nudus,Whitefin wolf-herring
Pellona_ditchela,NA
Lethrinus_harak,NA
Decapterus_macrosoma,Shortfin scad
Rachycentron_canadum,Cobia
Tetrapturus_angustirostris,NA
Carangoides_malabaricus,NA
Leiognathus_equulus,Common ponyfish
Gazza_minuta,NA
Plotosus_lineatus,NA
Upeneus_vittatus,Yellowstriped goatfish
Echidna_nebulosa,NA
Gerres_oyena,Common silverbiddy
Pomadasys_stridens,Striped piggy
Pelates_quadrilineatus,Fourlined terapon
Portunus_pelagicus,Blue swimming crab
Penaeus_monodon,Giant tiger prawn
Penaeus_semisulcatus,Green tiger prawn
Fenneropenaeus_indicus,Indian white prawn
Scylla_serrata,Indo-Pacific swamp crab
Haliporoides_sibogae,NA
Metapenaeus_monoceros,Speckled shrimp
Sepia_latimanus,NA
Octopus_cyanea,Big blue octopus
Zeidae,NA
Sphyrna,NA
Isurus_paucus,NA
Carcharhinus_falciformis,Silky shark
Ruvettus_pretiosus,Oilfish
Lampris_guttatus,NA
Lamniformes,NA
Carcharhinus_galapagensis,NA
Sphyrna_lewini,Scalloped hammerhead
Seriola_dumerili,Greater amberjack
Lepidocybium_flavobrunneum,NA
Gempylidae,NA
Carcharhinus_limbatus,Blacktip shark
Galeocerdo_cuvier,NA
Carcharhinus_plumbeus,NA
Alopias_vulpinus,Thresher
Bramidae,NA
Isurus,NA
Carcharhinus_obscurus,NA
Hexanchus_griseus,NA
Carcharhinus_brachyurus,NA
Gerres_oblongus,NA
Carcharhinus,NA
Caranx_ignobilis,Giant trevally
Ommastrephes_bartramii,NA
