rgn_id,year,a_prot_3nm
1,2000,2245
1,2001,2245
1,2002,2245
1,2003,2245
1,2004,4099
1,2005,4099
1,2006,4099
1,2007,4099
1,2008,4099
1,2009,4099
1,2010,4099
1,2011,4099
1,2012,4099
1,2013,4099
1,2014,4099
1,2015,4099
1,2016,4099
1,2017,4099
2,2000,2245
2,2001,2245
2,2002,2245
2,2003,2245
2,2004,4099
2,2005,4099
2,2006,4099
2,2007,4099
2,2008,4099
2,2009,4099
2,2010,4099
2,2011,4099
2,2012,4099
2,2013,4099
2,2014,4099
2,2015,4099
2,2016,4099
2,2017,4099
3,2000,2245
3,2001,2245
3,2002,2245
3,2003,2245
3,2004,4099
3,2005,4099
3,2006,4099
3,2007,4099
3,2008,4099
3,2009,4099
3,2010,4099
3,2011,4099
3,2012,4099
3,2013,4099
3,2014,4099
3,2015,4099
3,2016,4099
3,2017,4099
4,2000,2245
4,2001,2245
4,2002,2245
4,2003,2245
4,2004,4099
4,2005,4099
4,2006,4099
4,2007,4099
4,2008,4099
4,2009,4099
4,2010,4099
4,2011,4099
4,2012,4099
4,2013,4099
4,2014,4099
4,2015,4099
4,2016,4099
4,2017,4099
5,2000,2245
5,2001,2245
5,2002,2245
5,2003,2245
5,2004,4099
5,2005,4099
5,2006,4099
5,2007,4099
5,2008,4099
5,2009,4099
5,2010,4099
5,2011,4099
5,2012,4099
5,2013,4099
5,2014,4099
5,2015,4099
5,2016,4099
5,2017,4099
6,2000,2245
6,2001,2245
6,2002,2245
6,2003,2245
6,2004,4099
6,2005,4099
6,2006,4099
6,2007,4099
6,2008,4099
6,2009,4099
6,2010,4099
6,2011,4099
6,2012,4099
6,2013,4099
6,2014,4099
6,2015,4099
6,2016,4099
6,2017,4099
7,2000,2245
7,2001,2245
7,2002,2245
7,2003,2245
7,2004,4099
7,2005,4099
7,2006,4099
7,2007,4099
7,2008,4099
7,2009,4099
7,2010,4099
7,2011,4099
7,2012,4099
7,2013,4099
7,2014,4099
7,2015,4099
7,2016,4099
7,2017,4099
8,2000,2245
8,2001,2245
8,2002,2245
8,2003,2245
8,2004,4099
8,2005,4099
8,2006,4099
8,2007,4099
8,2008,4099
8,2009,4099
8,2010,4099
8,2011,4099
8,2012,4099
8,2013,4099
8,2014,4099
8,2015,4099
8,2016,4099
8,2017,4099
