rgn_id,year,pressure_score
1,2009,0
1,2010,0
1,2011,0
1,2012,0
1,2013,0
2,2009,0.083
2,2010,0.07
2,2011,0.078
2,2012,0.062
2,2013,0.072
3,2009,0.04
3,2010,0.034
3,2011,0.04
3,2012,0.034
3,2013,0.048
4,2009,0.19
4,2010,0.197
4,2011,0.176
4,2012,0.172
4,2013,0.175
5,2009,0.066
5,2010,0.049
5,2011,0.053
5,2012,0.025
5,2013,0.038
6,2009,0.097
6,2010,0.092
6,2011,0.093
6,2012,0.079
6,2013,0.089
7,2009,0.007
7,2010,0.007
7,2011,0.008
7,2012,0.006
7,2013,0.007
8,2009,0.006
8,2010,0.005
8,2011,0.005
8,2012,0.005
8,2013,0.005
