rgn_id,level,georgn_id
1,r2,14
1,r1,2
1,r0,1
2,r2,14
2,r1,2
2,r0,1
3,r2,14
3,r1,2
3,r0,1
4,r2,14
4,r1,2
4,r0,1
5,r2,14
5,r1,2
5,r0,1
6,r2,14
6,r1,2
6,r0,1
7,r2,14
7,r1,2
7,r0,1
8,r2,14
8,r1,2
8,r0,1
