iucn_sid,am_sid,sciname,cat_code,pop_trend,spatial_source,rgn_id,rgn_name,n_cells,presence,n_spp_rgn
697,Fis-32565,Agonostomus telfairii,LC,unknown,am,202,Tanzania,12,NA,5426
2811,Chn-ae156111-0d32-4a94-8720-9d7733c99831,Birgus latro,DD,NA,am,202,Tanzania,14,NA,5426
3381,Fis-26816,Butis butis,LC,stable,am,202,Tanzania,23,NA,5426
4592,Fis-31463,Cheilinus undulatus,EN,decreasing,am,202,Tanzania,26,NA,5426
6494,Rep-4381,Dermochelys coriacea,VU,decreasing,am,202,Tanzania,100,NA,5426
6814,Fis-53099,Dunckerocampus dactyliophorus,DD,NA,am,202,Tanzania,23,NA,5426
8407,Fis-25213,Eurypegasus draconis,DD,NA,am,202,Tanzania,26,NA,5426
9266,Fis-152317,Psammogobius biocellatus,LC,stable,am,202,Tanzania,23,NA,5426
10064,Fis-32615,Hippocampus camelopardalis,DD,NA,am,202,Tanzania,21,NA,5426
10070,Fis-31607,Hippocampus histrix,VU,decreasing,am,202,Tanzania,26,NA,5426
10074,Fis-130731,Hippocampus jayakari,DD,NA,am,202,Tanzania,23,NA,5426
10075,Fis-31608,Hippocampus kuda,VU,decreasing,am,202,Tanzania,21,NA,5426
11375,Fis-30189,Latimeria chalumnae,CR,unknown,am,202,Tanzania,23,NA,5426
12103,Fis-25001,Liosaccus pachygaster,VU,NA,am,202,Tanzania,27,NA,5426
15239,Fis-59241,Oligolepis keiensis,LC,unknown,am,202,Tanzania,23,NA,5426
16011,Fis-50720,Favonigobius melanobranchus,NT,NA,am,202,Tanzania,23,NA,5426
16012,Fis-17253,Favonigobius reichei,NT,NA,am,202,Tanzania,23,NA,5426
16476,Fis-31035,Pegasus volitans,DD,NA,am,202,Tanzania,24,NA,5426
20315,Fis-54098,Solegnathus hardwickii,DD,NA,am,202,Tanzania,24,NA,5426
22138,W-Msc-207675,Tridacna maxima,VU,NA,am,202,Tanzania,23,NA,5426
22140,W-Msc-207674,Tridacna squamosa,VU,NA,am,202,Tanzania,23,NA,5426
40715,Fis-25926,Syngnathoides biaculeatus,DD,NA,am,202,Tanzania,23,NA,5426
41010,Fis-130734,Hippocampus kelloggi,VU,decreasing,am,202,Tanzania,25,NA,5426
41745,Fis-23077,Centrophorus uyato,DD,NA,am,202,Tanzania,33,NA,5426
41878,Fis-8339,Stegostoma fasciatum,EN,decreasing,am,202,Tanzania,24,NA,5426
44669,Fis-26112,Choerodon schoenleinii,NT,unknown,am,202,Tanzania,24,NA,5426
60216,Fis-23075,Centrophorus granulosus,DD,NA,am,202,Tanzania,27,NA,5426
